sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s103,17,3,8,0.5747646052780067,2.777
s103,18,2,4,1.076917591512813,5.568
s103,19,3,12,0.9447045223795896,4.446
s103,20,1,4,0.20928834713141772,1.15
s103,21,1,4,0.5975352544300011,2.266
s103,22,2,12,1.5287988052955852,10.683
s103,23,2,4,0.2508920191353702,1.714
s103,24,3,12,0.7027074504599413,4.325
s103,25,3,8,0.5747459052374473,2.685
s103,26,1,8,0.732632127576665,3.66
s103,27,1,8,0.6106591235569291,3.195
s103,28,3,4,0.4075705255525045,1.659
s103,29,1,8,0.5980129927274627,2.419
s103,30,3,4,0.45543187363980714,1.791
s103,31,2,12,0.835395749516072,6.582
s103,32,3,4,0.37317563323657504,1.579
s103,33,1,4,0.3761592581306003,1.453
s103,34,3,8,0.6255159459271548,2.454
s103,35,3,4,0.28795351419469023,1.409
s103,36,3,4,0.2949989114658616,1.471
s103,37,1,4,0.6569343640664957,2.446
s103,38,1,12,0.7333243624065188,3.585
s103,39,3,8,0.659496220247538,3.081
s103,40,2,8,1.4215577217501842,10.514
s103,41,3,8,0.5911997769741592,3.149
s103,42,3,4,0.3054754552017713,1.389
s103,43,3,12,0.7280504504813268,4.263
s103,44,3,4,0.4843072325718419,1.956
s103,45,1,4,0.4307957151120048,1.791
s103,46,3,12,0.9818931970074886,4.878
s103,47,1,12,0.7539488842445756,3.998
s103,48,1,12,0.8392873622408965,4.256
s103,49,3,4,0.4400140867005005,1.646
s103,50,3,4,0.4449620271180925,2.11
s103,51,1,8,0.7407751374786721,2.855
s103,52,3,4,0.3664991534071125,1.493
s103,53,1,8,0.8048471645156682,3.235
s103,54,2,8,1.1351253358263516,7.06
